2016-10-12 19:24:39,685 	 <Dispatcher> 	 Level 45 	 START_BYTES	3228908
2016-10-12 19:26:24,543 	 <Dispatcher> 	 Level 45 	 START_BYTES	3296764
2016-10-12 19:38:45,393 	 <Dispatcher> 	 Level 45 	 START_BYTES	21793
2016-10-12 19:39:16,094 	 <Dispatcher> 	 Level 45 	 START_BYTES	33509
2016-10-12 19:47:33,088 	 <Dispatcher> 	 Level 45 	 START_BYTES	2978843
2016-10-12 19:52:37,161 	 <Dispatcher> 	 Level 45 	 START_BYTES	4543955
2016-10-12 19:55:39,815 	 <Dispatcher> 	 Level 45 	 START_BYTES	5216673
2016-10-12 23:00:59,526 	 <Dispatcher> 	 Level 45 	 START_BYTES	26869
2016-10-12 23:27:45,086 	 <Dispatcher> 	 Level 45 	 START_BYTES	65342
2016-10-12 23:29:35,441 	 <Dispatcher> 	 Level 45 	 START_BYTES	1034201
2016-10-12 23:29:50,742 	 <Dispatcher> 	 Level 45 	 START_BYTES	1042205
2016-10-27 16:29:32,601 	 <Dispatcher> 	 Level 45 	 START_BYTES	1366561
2016-10-27 16:30:46,698 	 <Dispatcher> 	 Level 45 	 START_BYTES	1824706
