2016-10-31 21:40:40,970 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-10-31 21:41:10,993 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-10-31 21:49:45,020 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-10-31 22:09:46,566 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-10-31 22:25:54,053 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-10-31 22:30:24,728 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-10-31 23:55:21,761 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-10-31 23:55:34,606 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-01 00:00:12,055 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-01 00:00:24,757 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-01 00:01:08,004 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-01 00:01:36,043 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-01 00:59:28,109 	 <Dispatcher> 	 ERROR 	 MQTT publish failed.
2016-11-01 01:00:00,104 	 <Dispatcher> 	 ERROR 	 MQTT publish failed.
2016-11-01 01:21:37,158 	 <Dispatcher> 	 ERROR 	 MQTT publish failed.
2016-11-01 01:22:08,707 	 <Dispatcher> 	 ERROR 	 MQTT publish failed.
2016-11-01 01:59:51,754 	 <Dispatcher> 	 ERROR 	 MQTT publish failed.
2016-11-01 02:00:21,790 	 <Dispatcher> 	 ERROR 	 MQTT publish failed.
2016-11-01 02:18:25,657 	 <Dispatcher> 	 ERROR 	 MQTT publish failed.
2016-11-01 02:18:57,062 	 <Dispatcher> 	 ERROR 	 MQTT publish failed.
2016-11-01 02:19:59,064 	 <Dispatcher> 	 ERROR 	 MQTT publish failed.
2016-11-01 02:21:35,838 	 <Dispatcher> 	 ERROR 	 MQTT publish failed.
2016-11-01 02:22:05,879 	 <Dispatcher> 	 ERROR 	 MQTT publish failed.
2016-11-01 03:53:31,602 	 <Dispatcher> 	 ERROR 	 MQTT publish failed.
2016-11-01 03:54:01,638 	 <Dispatcher> 	 ERROR 	 MQTT publish failed.
2016-11-01 04:21:27,176 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-01 06:06:38,023 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-01 15:47:41,987 	 <Dispatcher> 	 ERROR 	 MQTT publish failed.
2016-11-01 15:48:13,394 	 <Dispatcher> 	 ERROR 	 MQTT publish failed.
